reviewId,text
ChZDSUhNMG9nS0VJQ0FnSUN6dUpudUx3EAE,"We came right of our way to check this place out. There was only one server and there were a lot of lunch time customers so it was pretty slow.
We shared the Kale salad and chicken sandwich.  It was more than enough food, and they were both huge portions.  The thing we didn't like was that everything was pretty heavy in terms of the sauces and amount of oil used in cooking.
I couldn't finish as I prefer fresh food, but for comfort food, it was pretty good.
I can see why it is a popular choice.
The venue is great, and it is easy to park."
ChZDSUhNMG9nS0VJQ0FnSUN6MEptaElBEAE,
ChdDSUhNMG9nS0VJQ0FnSURUeTRxMjd3RRAB,"Atmosphere is beautiful. Mushroom Swiss burger and green goddess bowl were absolutely awful. The Smokey flavor tasted like straight up butane. Not sure the cooking process but may be an inexperienced cook torching too closely to the food. Either way, highly inedible. The ingredients were quality, so it was a shame. Server spilled entire ketchup on my pants - which accidents happen, but would’ve liked to be taken care of a little more than just given napkins. Service was slow as well. Highly disappointing experience cuz I can tell there’s potential here."
ChdDSUhNMG9nS0VJQ0FnSURUZzhpT3hBRRAB,
ChZDSUhNMG9nS0VJQ0FnSURUdmM3TkZnEAE,"Great atmosphere and staff, food was great too, but I think I ordered the wrong thing for myself!  Had the chicken and waffles."
ChdDSUhNMG9nS0VJQ0FnSURUNmR5NW9RRRAB,"My S.O and I have been loyal patrons of this vegan restaurant for several years, drawn in by their innovative menu that seemed to promise exciting vegan versions of popular fast food items. Unfortunately, our experience has been marred by inconsistencies and poor customer service. Initially, we were thrilled with their breakfast crunch wraps, a staple for our Saturday mornings, only for them to be abruptly discontinued without explanation. When inquired, the staff dismissively claimed that the item was rarely ordered, which was surprising given its apparent popularity.

A more recent finale straw so to say came with their special copycat menu featuring vegan alternatives to well-known Taco Bell and McDonald's items. After enjoying these options for two consecutive days, we were disappointed to find the entire menu had been removed. Despite being assured by the staff that these items would remain available, they have yet to reappear. Each interaction leaves us feeling disregarded, with staff members appearing indifferent to our concerns.

While we are passionate about supporting vegan businesses, the lack of stable menu options and the dismissive attitude of the staff have led us to explore other vegan venues. We hope that in the future, this restaurant will consider maintaining popular dishes and fostering a more respectful dialogue with their patrons."
ChdDSUhNMG9nS0VJQ0FnSUNUaDRMdzVRRRAB,"Saw this was well rated and really enjoyed on our visit. Shared nachos, french toast and a shake as a family and they were all delicious and filling! Planning to return to try more options!"
ChZDSUhNMG9nS0VJQ0FnSUNUczl6bU53EAE,Tasty vegan food and the employees are super friendly. One of our favorite restaurants.
ChdDSUhNMG9nS0VJQ0FnSUNUNDRDcjJBRRAB,"I'm disappointed to write this review because Modern Love has long been one of my favorite restaurants in Omaha. However, our recent visit left much to be desired. My wife and I went there last night for a special occasion, but the experience didn't live up to our expectations.

The Buffalo Wings (seitan) were overcooked, hard, and dry. The Garlic Parmesan Brussels were soggy and overly oily. Even the Goddess Bowl, which I usually love, tasted quite bland. The only dish that retained any of Modern Love's usual excellence was the Eggplant Parmesan.

Additionally, our server seemed flustered and inexperienced, forgetting our orders and dropping cutlery. It was a disappointing evening at a place we once cherished."
ChdDSUhNMG9nS0VJQ0FnSUNUamZ2Z3NBRRAB,"Although I'm not a huge fan of beets, I ordered the Beet Reuben. I would eat this every day if I could. Hands down, the best beet dish and the best overall sandwich I've ever had. The Kale Caesar was also top notch. The staff is very friendly and there was no waiting for a lunch table. 💯"
ChdDSUhNMG9nS0VJQ0FnSUNUdWZqNy1BRRAB,"If youre so used to complex flavor this is not your kind of food. Not to say that non-vegan is better because I grew up eating vegan that made by buddhist monk and local chef in asia and they are just so addictive.

I order the garlic Alfredo dish and I felt like im eating a tub of cream and italian seasoning herbs.

I really thought this is a life changing experience because there were so much hype about this restaurants. Im just gunna say it. If you into bland vegan food or just very mild in flavor ? This is your destination.

I probably wont coming back again tho.  the quality and everything else is good but flavor wise? not so much. its just not my taste bud"
ChZDSUhNMG9nS0VJQ0FnSUNUa1lmb1d3EAE,"Just had my first experience here (and hopefully not my last), and WOW! The staff is so accommodating (shoutout to our waitress Gabby), atmosphere is stylish, cozy, and welcoming, and the food came out so quick and SO tasty. My wish is that this place expands to more locations."
ChdDSUhNMG9nS0VJQ0FnSUNUa2J1d3BRRRAB,"Amazing selection of entirely vegan food, great service and the food came out FAST. Reasonable prices, will definitely come here again."
ChZDSUhNMG9nS0VJQ0FnSURqejktSEVnEAE,
ChdDSUhNMG9nS0VJQ0FnSURqbzRyZzBnRRAB,"I am sad writing this post. As someone who is allergic to dairy and has several friends and family members that have gluten intolerances, it’s hard to find a good place we can all eat at. I’ve been to Modern Love more than 5 times in the last 3 years and every time I’ve gone, it’s worse. They are always out of food and the quality is not what it used it be. I wish they had more consistency and gluten free options. For the price, it’s now hard to justify going back if they are out of the food that is on the menu."
ChZDSUhNMG9nS0VJQ0FnSURqdGZ1ZVlBEAE,
ChdDSUhNMG9nS0VJQ0FnSUNqMzREQzl3RRAB,I wish I could give this place 10 stars. I'm still thinking about it. This is the best vegan food I've had since moving out of California. I wanted to eat at this place for every single meal. So so good I'm disappointed I don't live in the area or I would be here all the time. Vegan and gluten-free options.
ChdDSUhNMG9nS0VJQ0FnSUNqNmJ1YXRnRRAB,Great vegetarian lovers restaurant
ChdDSUhNMG9nS0VJQ0FnSUNqbm9mdjhRRRAB,"Loved this experience. Went with a large group and got to try a bunch of things. I loved all of them. Nachos were delicious. Brussel Sprouts had a yummy garlic flavor. Chickpea Parm sandwich had a delightful pesto and the same amazing tomato sauce that was on the eggplant parmesan. The waitstaff were fantastic with our large, kinda noisy group. Eating vegan in Omaha hasn't been easy. This place really made my trip."
ChdDSUhNMG9nS0VJQ0FnSURENzhYRGp3RRAB,"Truly exceptional food. A little slow, but quality makes up for it. Tried most of the menu, over-ate, had a great time.

Buff cauli: 10/10
Buff seitan: 8/10
Chk bacn ranch: 9/10
Garlic alfredo pesto: 10/10
Fried oyster mushie: 7/10
Mozz app: 7/10

Tofu chk: 8/10 - great frying, crispy
Ranch: 8/10
Mushie bacn: 8/10
Pesto: 10/10
Alfredo: 10/10
Fried oyster: 6/10 - too much, similar to bloomin onion from outback
Mashed potato: 9/10
Gravy: 7/10
Slaw: 4/10
Mozz: 6/10
Fried mozz: 7/10
Marinara: 8/10
Fries: 7/10
Ketchup: 9/10"
ChdDSUhNMG9nS0VJQ0FnSUREem9XXzd3RRAB,"I recently popped out for a last minute dinner at Modern Love and it was the highlight of my week. The food is vegan and unlike other vegan options, this food satisfies BOTH the comfort food cravings and the desire for light and healthy options. My typical go-to is the Mac n shews dish. You cannot go wrong with this MOLO staple. On this visit I was feeling wild and shared a plate of nachos with my friend and enjoyed every bite. I had the  passion fruit margarita and my friend had the gimlet drink and oh goodness, both were Devine. I love Modern Love staples and I’m excited to continue to try new items  in the menu. Thanks for gracing Omaha with your beauty and talent, Isa! Also! Our server was cute as a button and so great at her job and I wish I could’ve taken her home in a to-go box. 10/10"
ChdDSUhNMG9nS0VJQ0FnSUREMXRHWHJ3RRAB,Love this place. The food is always delicious! And the staff are always friendly and attentive.
